"feature_id","feature_field_name"
1,"time_Body_Acc_mean.fn_X"
2,"time_Body_Acc_mean.fn_Y"
3,"time_Body_Acc_mean.fn_Z"
4,"time_Body_Acc_std.fn_X"
5,"time_Body_Acc_std.fn_Y"
6,"time_Body_Acc_std.fn_Z"
7,"time_Body_Acc_mad.fn_X"
8,"time_Body_Acc_mad.fn_Y"
9,"time_Body_Acc_mad.fn_Z"
10,"time_Body_Acc_max.fn_X"
11,"time_Body_Acc_max.fn_Y"
12,"time_Body_Acc_max.fn_Z"
13,"time_Body_Acc_min.fn_X"
14,"time_Body_Acc_min.fn_Y"
15,"time_Body_Acc_min.fn_Z"
16,"time_Body_Acc_sma.fn"
17,"time_Body_Acc_energy.fn_X"
18,"time_Body_Acc_energy.fn_Y"
19,"time_Body_Acc_energy.fn_Z"
20,"time_Body_Acc_iqr.fn_X"
21,"time_Body_Acc_iqr.fn_Y"
22,"time_Body_Acc_iqr.fn_Z"
23,"time_Body_Acc_entropy.fn_X"
24,"time_Body_Acc_entropy.fn_Y"
25,"time_Body_Acc_entropy.fn_Z"
26,"time_Body_Acc_arCoeff.fn_X.to.1"
27,"time_Body_Acc_arCoeff.fn_X.to.2"
28,"time_Body_Acc_arCoeff.fn_X.to.3"
29,"time_Body_Acc_arCoeff.fn_X.to.4"
30,"time_Body_Acc_arCoeff.fn_Y.to.1"
31,"time_Body_Acc_arCoeff.fn_Y.to.2"
32,"time_Body_Acc_arCoeff.fn_Y.to.3"
33,"time_Body_Acc_arCoeff.fn_Y.to.4"
34,"time_Body_Acc_arCoeff.fn_Z.to.1"
35,"time_Body_Acc_arCoeff.fn_Z.to.2"
36,"time_Body_Acc_arCoeff.fn_Z.to.3"
37,"time_Body_Acc_arCoeff.fn_Z.to.4"
38,"time_Body_Acc_correlation.fn_X.to.Y"
39,"time_Body_Acc_correlation.fn_X.to.Z"
40,"time_Body_Acc_correlation.fn_Y.to.Z"
41,"time_Gravity_Acc_mean.fn_X"
42,"time_Gravity_Acc_mean.fn_Y"
43,"time_Gravity_Acc_mean.fn_Z"
44,"time_Gravity_Acc_std.fn_X"
45,"time_Gravity_Acc_std.fn_Y"
46,"time_Gravity_Acc_std.fn_Z"
47,"time_Gravity_Acc_mad.fn_X"
48,"time_Gravity_Acc_mad.fn_Y"
49,"time_Gravity_Acc_mad.fn_Z"
50,"time_Gravity_Acc_max.fn_X"
51,"time_Gravity_Acc_max.fn_Y"
52,"time_Gravity_Acc_max.fn_Z"
53,"time_Gravity_Acc_min.fn_X"
54,"time_Gravity_Acc_min.fn_Y"
55,"time_Gravity_Acc_min.fn_Z"
56,"time_Gravity_Acc_sma.fn"
57,"time_Gravity_Acc_energy.fn_X"
58,"time_Gravity_Acc_energy.fn_Y"
59,"time_Gravity_Acc_energy.fn_Z"
60,"time_Gravity_Acc_iqr.fn_X"
61,"time_Gravity_Acc_iqr.fn_Y"
62,"time_Gravity_Acc_iqr.fn_Z"
63,"time_Gravity_Acc_entropy.fn_X"
64,"time_Gravity_Acc_entropy.fn_Y"
65,"time_Gravity_Acc_entropy.fn_Z"
66,"time_Gravity_Acc_arCoeff.fn_X.to.1"
67,"time_Gravity_Acc_arCoeff.fn_X.to.2"
68,"time_Gravity_Acc_arCoeff.fn_X.to.3"
69,"time_Gravity_Acc_arCoeff.fn_X.to.4"
70,"time_Gravity_Acc_arCoeff.fn_Y.to.1"
71,"time_Gravity_Acc_arCoeff.fn_Y.to.2"
72,"time_Gravity_Acc_arCoeff.fn_Y.to.3"
73,"time_Gravity_Acc_arCoeff.fn_Y.to.4"
74,"time_Gravity_Acc_arCoeff.fn_Z.to.1"
75,"time_Gravity_Acc_arCoeff.fn_Z.to.2"
76,"time_Gravity_Acc_arCoeff.fn_Z.to.3"
77,"time_Gravity_Acc_arCoeff.fn_Z.to.4"
78,"time_Gravity_Acc_correlation.fn_X.to.Y"
79,"time_Gravity_Acc_correlation.fn_X.to.Z"
80,"time_Gravity_Acc_correlation.fn_Y.to.Z"
81,"time_Body_AccJerk_mean.fn_X"
82,"time_Body_AccJerk_mean.fn_Y"
83,"time_Body_AccJerk_mean.fn_Z"
84,"time_Body_AccJerk_std.fn_X"
85,"time_Body_AccJerk_std.fn_Y"
86,"time_Body_AccJerk_std.fn_Z"
87,"time_Body_AccJerk_mad.fn_X"
88,"time_Body_AccJerk_mad.fn_Y"
89,"time_Body_AccJerk_mad.fn_Z"
90,"time_Body_AccJerk_max.fn_X"
91,"time_Body_AccJerk_max.fn_Y"
92,"time_Body_AccJerk_max.fn_Z"
93,"time_Body_AccJerk_min.fn_X"
94,"time_Body_AccJerk_min.fn_Y"
95,"time_Body_AccJerk_min.fn_Z"
96,"time_Body_AccJerk_sma.fn"
97,"time_Body_AccJerk_energy.fn_X"
98,"time_Body_AccJerk_energy.fn_Y"
99,"time_Body_AccJerk_energy.fn_Z"
100,"time_Body_AccJerk_iqr.fn_X"
101,"time_Body_AccJerk_iqr.fn_Y"
102,"time_Body_AccJerk_iqr.fn_Z"
103,"time_Body_AccJerk_entropy.fn_X"
104,"time_Body_AccJerk_entropy.fn_Y"
105,"time_Body_AccJerk_entropy.fn_Z"
106,"time_Body_AccJerk_arCoeff.fn_X.to.1"
107,"time_Body_AccJerk_arCoeff.fn_X.to.2"
108,"time_Body_AccJerk_arCoeff.fn_X.to.3"
109,"time_Body_AccJerk_arCoeff.fn_X.to.4"
110,"time_Body_AccJerk_arCoeff.fn_Y.to.1"
111,"time_Body_AccJerk_arCoeff.fn_Y.to.2"
112,"time_Body_AccJerk_arCoeff.fn_Y.to.3"
113,"time_Body_AccJerk_arCoeff.fn_Y.to.4"
114,"time_Body_AccJerk_arCoeff.fn_Z.to.1"
115,"time_Body_AccJerk_arCoeff.fn_Z.to.2"
116,"time_Body_AccJerk_arCoeff.fn_Z.to.3"
117,"time_Body_AccJerk_arCoeff.fn_Z.to.4"
118,"time_Body_AccJerk_correlation.fn_X.to.Y"
119,"time_Body_AccJerk_correlation.fn_X.to.Z"
120,"time_Body_AccJerk_correlation.fn_Y.to.Z"
